valence,arousal
-0.044,0.299
-0.087,0.331
-0.088,0.321
-0.101,0.322
0.001,0.270
-0.085,0.310
-0.065,0.307
-0.154,0.366
-0.174,0.356
-0.258,0.416
-0.149,0.352
-0.197,0.368
-0.145,0.354
-0.142,0.340
-0.122,0.350
-0.141,0.380
-0.102,0.362
-0.185,0.410
-0.148,0.381
-0.188,0.390
-0.171,0.361
-0.190,0.394
-0.152,0.364
-0.148,0.364
-0.159,0.377
-0.168,0.413
-0.202,0.429
-0.282,0.486
-0.224,0.446
-0.259,0.446
-0.265,0.447
-0.261,0.449
-0.218,0.431
-0.289,0.489
-0.195,0.427
-0.246,0.424
-0.163,0.394
-0.196,0.384
-0.261,0.416
-0.270,0.448
-0.181,0.401
-0.266,0.411
-0.170,0.390
-0.168,0.368
-0.151,0.358
-0.190,0.402
-0.116,0.352
-0.173,0.375
-0.146,0.368
-0.154,0.372
-0.167,0.395
-0.134,0.410
-0.132,0.377
-0.133,0.379
-0.075,0.331
-0.143,0.369
-0.265,0.440
-0.200,0.403
-0.166,0.387
-0.099,0.349
-0.061,0.352
-0.038,0.347
-0.188,0.447
-0.180,0.453
-0.101,0.391
-0.104,0.380
-0.095,0.395
-0.099,0.388
-0.216,0.460
-0.235,0.475
-0.127,0.395
-0.126,0.413
-0.057,0.391
-0.115,0.413
-0.269,0.489
-0.242,0.494
-0.179,0.445
-0.213,0.497
-0.084,0.415
-0.108,0.434
-0.177,0.457
-0.147,0.461
-0.116,0.432
-0.109,0.426
-0.051,0.394
-0.025,0.380
-0.185,0.428
-0.178,0.440
-0.137,0.399
-0.131,0.423
-0.064,0.367
-0.081,0.394
-0.116,0.396
-0.139,0.407
-0.075,0.336
-0.109,0.366
-0.086,0.325
-0.126,0.350
-0.182,0.377
-0.145,0.382
-0.116,0.310
-0.107,0.375
-0.089,0.329
-0.129,0.343
-0.065,0.349
-0.142,0.395
-0.075,0.292
-0.113,0.342
-0.093,0.325
-0.075,0.319
-0.081,0.320
-0.116,0.380
-0.107,0.311
-0.113,0.360
-0.074,0.315
-0.085,0.318
-0.124,0.342
-0.144,0.394
-0.086,0.355
-0.038,0.323
-0.061,0.320
-0.013,0.298
-0.014,0.260
-0.044,0.309
-0.009,0.293
-0.098,0.309
-0.103,0.362
-0.069,0.329
-0.030,0.296
-0.045,0.305
-0.042,0.254
-0.063,0.235
-0.054,0.269
-0.053,0.266
-0.082,0.244
-0.121,0.298
-0.137,0.262
-0.127,0.259
-0.116,0.259
-0.098,0.237
-0.124,0.280
-0.221,0.423
-0.137,0.360
-0.069,0.286
-0.132,0.343
-0.074,0.311
-0.106,0.353
-0.139,0.405
-0.126,0.367
-0.100,0.329
-0.135,0.351
-0.140,0.350
-0.168,0.386
-0.196,0.400
-0.206,0.424
-0.113,0.348
-0.192,0.387
-0.137,0.345
-0.155,0.379
-0.244,0.458
-0.211,0.435
-0.155,0.374
-0.233,0.428
-0.229,0.402
-0.192,0.403
-0.316,0.499
-0.228,0.444
-0.268,0.456
-0.294,0.487
-0.266,0.471
-0.305,0.489
-0.333,0.542
-0.333,0.543
-0.409,0.569
-0.388,0.575
-0.338,0.535
-0.356,0.553
-0.361,0.574
-0.266,0.535
-0.324,0.551
-0.249,0.498
-0.280,0.516
-0.250,0.466
-0.263,0.516
-0.239,0.485
-0.335,0.551
-0.298,0.537
-0.321,0.542
-0.316,0.522
-0.296,0.538
-0.249,0.464
-0.247,0.477
-0.298,0.494
-0.364,0.536
-0.366,0.527
-0.312,0.532
-0.225,0.453
-0.303,0.533
-0.288,0.510
-0.243,0.480
-0.302,0.502
-0.250,0.497
-0.201,0.464
-0.264,0.561
-0.224,0.493
-0.173,0.469
-0.265,0.527
-0.243,0.554
-0.172,0.496
-0.249,0.542
-0.214,0.492
-0.292,0.540
-0.280,0.542
-0.294,0.593
-0.193,0.532
-0.180,0.526
-0.108,0.477
-0.165,0.510
-0.169,0.498
-0.152,0.500
-0.161,0.486
-0.178,0.513
-0.142,0.494
-0.182,0.512
-0.183,0.530
-0.163,0.527
-0.139,0.505
-0.082,0.508
-0.082,0.463
-0.155,0.524
-0.179,0.538
-0.183,0.550
-0.127,0.513
-0.036,0.475
-0.034,0.470
-0.018,0.474
-0.058,0.510
-0.112,0.525
-0.087,0.505
0.014,0.418
-0.041,0.467
-0.003,0.469
0.010,0.481
-0.020,0.498
-0.010,0.456
0.001,0.418
0.042,0.444
-0.040,0.494
0.020,0.454
-0.015,0.448
0.011,0.450
0.005,0.409
0.011,0.457
0.008,0.471
0.029,0.415
0.005,0.399
0.048,0.413
0.006,0.420
0.002,0.418
-0.006,0.430
-0.037,0.395
0.020,0.353
-0.003,0.418
-0.006,0.427
-0.008,0.433
0.002,0.431
0.029,0.349
-0.037,0.438
-0.041,0.472
-0.110,0.503
-0.011,0.446
-0.040,0.465
-0.099,0.456
-0.044,0.444
-0.045,0.469
-0.051,0.466
-0.093,0.458
-0.075,0.450
-0.112,0.435
-0.106,0.488
-0.109,0.506
-0.122,0.504
-0.144,0.516
-0.129,0.511
-0.130,0.496
-0.094,0.464
-0.109,0.466
-0.141,0.480
-0.116,0.511
-0.096,0.495
-0.105,0.487
-0.083,0.480
-0.025,0.461
-0.073,0.478
-0.094,0.504
-0.106,0.486
-0.080,0.473
-0.031,0.468
-0.051,0.448
-0.031,0.478
-0.099,0.523
-0.092,0.512
-0.038,0.471
-0.020,0.451
-0.066,0.484
-0.078,0.456
-0.095,0.503
-0.120,0.498
-0.052,0.479
-0.026,0.462
-0.030,0.480
-0.042,0.489
-0.079,0.516
-0.081,0.517
-0.050,0.455
-0.079,0.453
-0.066,0.464
-0.051,0.466
-0.058,0.449
-0.085,0.487
-0.024,0.443
-0.021,0.431
-0.049,0.448
-0.081,0.467
-0.030,0.431
-0.029,0.420
-0.029,0.418
-0.008,0.403
-0.049,0.447
-0.028,0.436
-0.040,0.421
-0.032,0.400
-0.018,0.380
-0.024,0.377
-0.032,0.438
-0.055,0.442
-0.032,0.425
-0.056,0.440
-0.005,0.394
-0.069,0.417
-0.038,0.457
-0.054,0.435
-0.065,0.429
-0.061,0.411
-0.100,0.437
-0.028,0.394
-0.062,0.442
-0.078,0.446
-0.112,0.454
-0.112,0.441
-0.197,0.482
-0.245,0.484
-0.129,0.449
-0.122,0.411
-0.122,0.420
-0.128,0.437
-0.112,0.472
-0.190,0.509
-0.107,0.452
-0.083,0.458
-0.114,0.473
-0.104,0.472
-0.110,0.480
-0.218,0.507
-0.114,0.444
-0.133,0.456
-0.167,0.489
-0.162,0.488
-0.272,0.548
-0.321,0.554
-0.189,0.474
-0.152,0.468
-0.222,0.499
-0.176,0.482
-0.173,0.479
-0.227,0.516
-0.115,0.467
-0.131,0.499
-0.167,0.503
-0.078,0.454
-0.136,0.507
-0.153,0.494
-0.090,0.446
-0.066,0.433
-0.112,0.459
-0.081,0.451
-0.150,0.495
-0.136,0.485
-0.030,0.460
-0.084,0.509
-0.169,0.543
-0.111,0.496
-0.197,0.496
-0.171,0.479
-0.032,0.429
-0.070,0.484
-0.178,0.541
-0.142,0.525
-0.118,0.504
-0.133,0.517
-0.097,0.487
-0.169,0.503
-0.218,0.519
-0.141,0.491
-0.180,0.507
-0.133,0.497
-0.123,0.502
-0.168,0.553
-0.212,0.554
-0.205,0.557
-0.196,0.513
-0.170,0.492
-0.125,0.490
-0.171,0.543
-0.233,0.577
-0.163,0.537
-0.176,0.522
-0.063,0.453
-0.030,0.447
-0.066,0.474
-0.105,0.487
-0.082,0.470
-0.096,0.462
-0.072,0.470
-0.048,0.466
-0.065,0.488
-0.132,0.512
-0.067,0.485
-0.130,0.492
-0.129,0.492
-0.119,0.474
-0.124,0.494
-0.156,0.514
-0.176,0.533
-0.181,0.526
-0.127,0.479
-0.067,0.464
-0.161,0.536
-0.168,0.544
-0.174,0.538
-0.145,0.526
-0.031,0.458
-0.049,0.464
-0.089,0.518
-0.073,0.469
-0.119,0.496
-0.088,0.486
-0.076,0.487
-0.046,0.492
-0.082,0.513
-0.049,0.451
-0.079,0.491
-0.052,0.479
-0.015,0.442
-0.067,0.505
-0.123,0.541
-0.132,0.512
-0.169,0.544
-0.133,0.519
-0.067,0.483
-0.037,0.485
-0.128,0.544
-0.105,0.483
-0.163,0.512
-0.096,0.493
-0.004,0.457
0.014,0.459
-0.051,0.491
-0.114,0.474
-0.106,0.496
-0.111,0.513
-0.028,0.472
-0.031,0.508
-0.129,0.577
-0.133,0.557
-0.109,0.568
-0.110,0.525
-0.010,0.434
-0.003,0.453
-0.053,0.501
-0.099,0.519
-0.135,0.565
-0.104,0.514
-0.037,0.482
-0.015,0.485
-0.080,0.522
-0.089,0.501
-0.130,0.540
-0.128,0.524
-0.011,0.449
-0.042,0.483
-0.098,0.495
-0.131,0.486
-0.139,0.520
-0.098,0.491
-0.028,0.432
-0.049,0.466
-0.158,0.507
-0.113,0.482
-0.147,0.511
-0.154,0.505
-0.040,0.415
-0.060,0.453
-0.017,0.463
-0.101,0.463
-0.097,0.473
-0.098,0.448
-0.091,0.441
-0.105,0.459
-0.073,0.480
-0.077,0.459
-0.089,0.487
-0.137,0.487
-0.152,0.511
-0.165,0.523
-0.130,0.507
-0.118,0.485
-0.128,0.491
-0.140,0.488
-0.209,0.526
-0.206,0.524
-0.217,0.536
-0.215,0.515
-0.200,0.526
-0.223,0.535
-0.235,0.532
-0.230,0.524
-0.241,0.541
-0.235,0.506
-0.249,0.516
-0.211,0.501
-0.276,0.547
-0.238,0.495
-0.323,0.550
-0.303,0.503
-0.365,0.546
-0.214,0.464
-0.258,0.513
-0.296,0.510
-0.313,0.540
-0.326,0.527
-0.357,0.563
-0.295,0.534
-0.329,0.532
-0.355,0.531
-0.316,0.538
-0.346,0.551
-0.339,0.555
-0.224,0.488
-0.279,0.497
-0.267,0.503
-0.305,0.518
-0.366,0.549
-0.338,0.516
-0.264,0.497
-0.307,0.534
-0.278,0.519
-0.296,0.511
-0.319,0.508
-0.287,0.501
-0.255,0.501
-0.284,0.513
-0.342,0.543
-0.361,0.522
-0.357,0.527
-0.334,0.519
-0.295,0.478
-0.316,0.488
-0.354,0.509
-0.330,0.505
-0.340,0.488
-0.351,0.520
-0.334,0.516
-0.324,0.489
-0.367,0.528
-0.352,0.500
-0.398,0.521
-0.392,0.526
-0.337,0.519
-0.339,0.509
-0.333,0.523
-0.398,0.527
-0.406,0.539
-0.397,0.539
-0.345,0.554
-0.362,0.520
-0.389,0.539
-0.409,0.541
-0.336,0.526
-0.309,0.513
-0.341,0.531
-0.366,0.538
-0.336,0.512
-0.385,0.560
-0.335,0.521
-0.298,0.489
-0.336,0.524
-0.367,0.513
-0.345,0.511
-0.372,0.529
-0.302,0.508
-0.279,0.470
-0.299,0.481
-0.332,0.511
-0.327,0.517
-0.325,0.494
-0.320,0.482
-0.330,0.496
-0.269,0.495
-0.300,0.504
-0.338,0.534
-0.336,0.564
-0.389,0.555
-0.329,0.516
-0.319,0.518
-0.369,0.531
-0.334,0.527
-0.365,0.555
-0.446,0.585
-0.361,0.547
-0.361,0.555
-0.360,0.534
-0.360,0.538
-0.440,0.593
-0.417,0.574
-0.339,0.538
-0.376,0.552
-0.385,0.537
-0.344,0.524
-0.434,0.609
-0.392,0.549
-0.335,0.529
-0.340,0.532
-0.332,0.495
-0.319,0.497
-0.375,0.554
-0.306,0.506
-0.309,0.514
-0.315,0.516
-0.357,0.538
-0.308,0.482
-0.345,0.549
-0.280,0.504
-0.362,0.556
-0.326,0.532
-0.312,0.516
-0.280,0.470
-0.323,0.532
-0.341,0.538
-0.362,0.550
-0.324,0.523
-0.315,0.510
-0.292,0.484
-0.356,0.547
-0.344,0.523
-0.350,0.558
-0.299,0.499
-0.272,0.490
-0.182,0.465
-0.293,0.545
-0.369,0.553
-0.345,0.571
-0.303,0.517
-0.284,0.485
-0.270,0.495
-0.229,0.511
-0.310,0.527
-0.309,0.544
-0.276,0.482
-0.337,0.542
-0.338,0.561
-0.322,0.577
-0.394,0.594
-0.364,0.577
-0.304,0.536
-0.326,0.548
-0.307,0.530
-0.336,0.584
-0.350,0.583
-0.321,0.570
-0.289,0.550
-0.304,0.544
-0.306,0.555
-0.258,0.547
-0.328,0.590
-0.307,0.559
-0.304,0.571
-0.338,0.597
-0.349,0.585
-0.302,0.580
-0.371,0.593
-0.331,0.578
-0.369,0.589
-0.306,0.554
-0.340,0.579
-0.316,0.563
-0.387,0.593
-0.356,0.588
-0.385,0.600
-0.356,0.599
-0.378,0.584
-0.335,0.558
-0.391,0.588
-0.356,0.574
-0.384,0.590
-0.352,0.589
-0.386,0.594
-0.432,0.611
-0.378,0.594
-0.386,0.592
-0.397,0.599
-0.393,0.611
-0.369,0.566
-0.375,0.577
-0.418,0.604
-0.328,0.551
-0.411,0.600
-0.403,0.597
-0.404,0.598
-0.461,0.610
-0.435,0.629
-0.416,0.596
-0.415,0.595
-0.402,0.584
-0.430,0.598
-0.481,0.621
-0.462,0.624
-0.419,0.601
-0.419,0.614
-0.389,0.611
-0.439,0.606
-0.471,0.618
-0.452,0.610
-0.429,0.601
-0.434,0.581
-0.415,0.600
-0.446,0.587
-0.489,0.623
-0.490,0.609
-0.466,0.602
-0.473,0.604
-0.451,0.625
-0.459,0.600
-0.459,0.593
-0.442,0.592
-0.471,0.593
-0.435,0.587
-0.483,0.629
-0.467,0.606
-0.467,0.588
-0.483,0.612
-0.415,0.579
-0.465,0.594
-0.480,0.621
-0.599,0.674
-0.628,0.699
-0.584,0.667
-0.472,0.599
-0.491,0.616
-0.488,0.632
-0.540,0.654
-0.547,0.643
-0.544,0.634
-0.494,0.592
-0.532,0.622
-0.481,0.601
-0.575,0.664
-0.552,0.648
-0.531,0.639
-0.478,0.599
-0.466,0.602
-0.529,0.640
-0.606,0.679
-0.600,0.690
-0.560,0.645
-0.559,0.646
-0.539,0.638
-0.528,0.611
-0.552,0.666
-0.593,0.680
-0.505,0.622
-0.539,0.636
-0.501,0.614
-0.561,0.643
-0.599,0.686
-0.609,0.698
-0.481,0.588
-0.528,0.632
-0.435,0.590
-0.490,0.599
-0.544,0.636
-0.539,0.628
-0.436,0.556
-0.495,0.614
-0.453,0.577
-0.483,0.602
-0.526,0.590
-0.522,0.602
-0.457,0.545
-0.456,0.559
-0.394,0.523
-0.409,0.518
-0.371,0.460
-0.365,0.460
-0.305,0.438
-0.323,0.466
-0.251,0.421
-0.284,0.428
-0.223,0.376
-0.239,0.370
-0.243,0.380
-0.210,0.370
-0.147,0.350
-0.175,0.340
-0.138,0.304
-0.170,0.293
-0.158,0.283
-0.186,0.305
-0.105,0.274
-0.128,0.287
-0.105,0.240
-0.069,0.192
-0.074,0.220
-0.077,0.212
-0.033,0.200
-0.046,0.171
-0.094,0.187
-0.164,0.236
-0.168,0.282
-0.204,0.277
-0.154,0.288
-0.202,0.322
-0.275,0.347
-0.338,0.347
-0.301,0.359
-0.257,0.335
-0.228,0.370
-0.247,0.392
-0.267,0.328
-0.274,0.339
-0.242,0.371
-0.270,0.376
-0.214,0.355
-0.285,0.382
-0.286,0.368
-0.279,0.401
-0.306,0.479
-0.290,0.463
-0.219,0.430
-0.213,0.388
-0.226,0.384
-0.194,0.344
-0.181,0.413
-0.236,0.421
-0.146,0.403
-0.168,0.413
-0.211,0.411
-0.256,0.354
-0.234,0.397
-0.212,0.375
-0.172,0.376
-0.132,0.342
-0.124,0.373
-0.142,0.342
-0.118,0.379
-0.148,0.391
-0.144,0.393
-0.133,0.371
-0.174,0.376
-0.139,0.348
-0.127,0.404
-0.144,0.405
-0.166,0.439
-0.130,0.387
-0.067,0.351
-0.027,0.306
-0.023,0.308
-0.058,0.322
-0.048,0.337
-0.043,0.301
0.007,0.299
0.008,0.294
-0.019,0.313
-0.004,0.327
-0.024,0.320
0.015,0.289
0.022,0.281
0.060,0.297
0.089,0.309
0.091,0.308
0.056,0.302
0.077,0.271
0.049,0.284
0.111,0.275
0.047,0.304
0.071,0.287
0.039,0.279
0.047,0.259
0.062,0.257
0.053,0.246
0.082,0.232
0.033,0.242
0.071,0.265
0.047,0.253
0.037,0.265
0.062,0.205
0.069,0.247
0.115,0.236
0.122,0.258
0.090,0.226
0.045,0.235
0.052,0.209
0.119,0.226
0.084,0.220
0.116,0.239
0.075,0.197
0.068,0.217
0.150,0.170
0.169,0.206
0.162,0.183
0.118,0.185
0.105,0.161
0.076,0.200
0.108,0.218
0.147,0.204
0.115,0.193
0.153,0.190
0.129,0.199
0.104,0.248
0.101,0.228
0.128,0.264
0.140,0.240
0.146,0.236
0.127,0.245
0.105,0.236
0.075,0.206
0.116,0.205
0.109,0.237
0.151,0.240
0.099,0.228
0.061,0.250
0.093,0.190
0.099,0.235
0.113,0.228
0.116,0.252
0.121,0.188
0.114,0.197
0.112,0.175
0.123,0.218
0.091,0.232
0.116,0.217
0.087,0.196
0.121,0.210
0.093,0.161
0.088,0.209
0.124,0.197
0.128,0.173
0.114,0.169
0.105,0.215
0.064,0.193
0.104,0.207
0.089,0.202
0.131,0.193
0.105,0.184
0.113,0.217
0.083,0.147
0.111,0.196
0.125,0.158
0.123,0.203
0.123,0.158
0.120,0.224
0.104,0.182
0.124,0.190
0.097,0.190
0.130,0.207
0.135,0.160
0.153,0.216
0.128,0.181
0.107,0.206
0.159,0.158
0.149,0.176
0.164,0.130
0.123,0.208
0.125,0.179
0.120,0.185
0.127,0.160
0.107,0.161
0.115,0.142
0.126,0.169
0.108,0.173
0.090,0.167
0.109,0.141
0.093,0.172
0.117,0.103
0.111,0.147
0.120,0.142
0.104,0.145
0.071,0.135
0.090,0.160
0.104,0.104
0.086,0.114
0.084,0.131
0.065,0.147
0.121,0.115
0.111,0.149
0.115,0.108
0.049,0.138
0.094,0.138
0.087,0.161
0.103,0.134
0.073,0.180
0.057,0.152
0.079,0.154
0.053,0.140
0.042,0.181
0.071,0.128
0.046,0.173
0.017,0.139
0.005,0.143
-0.017,0.163
0.007,0.175
-0.008,0.201
0.005,0.190
-0.012,0.187
-0.023,0.171
0.016,0.171
-0.033,0.195
0.011,0.179
0.010,0.224
-0.001,0.208
-0.013,0.193
-0.059,0.186
-0.066,0.181
-0.038,0.188
-0.024,0.207
-0.051,0.207
-0.065,0.220
-0.075,0.179
-0.139,0.208
-0.051,0.209
-0.052,0.211
-0.091,0.204
-0.081,0.222
-0.084,0.219
-0.115,0.239
-0.089,0.257
-0.044,0.250
-0.084,0.252
-0.106,0.272
-0.099,0.250
-0.169,0.319
-0.110,0.300
-0.085,0.284
-0.138,0.302
-0.140,0.312
-0.153,0.326
-0.216,0.367
-0.189,0.349
-0.124,0.296
-0.153,0.315
-0.200,0.317
-0.147,0.305
-0.152,0.309
-0.087,0.283
-0.063,0.304
-0.094,0.321
-0.101,0.309
-0.153,0.301
-0.123,0.297
-0.139,0.336
-0.108,0.326
-0.149,0.362
-0.131,0.358
-0.165,0.356
-0.167,0.368
-0.141,0.381
-0.117,0.306
-0.158,0.343
-0.105,0.328
-0.155,0.342
-0.170,0.351
-0.195,0.373
-0.167,0.330
-0.158,0.334
-0.136,0.322
-0.180,0.338
-0.179,0.353
-0.132,0.343
-0.160,0.369
-0.184,0.370
-0.157,0.363
-0.150,0.361
-0.139,0.383
-0.171,0.424
-0.134,0.396
-0.158,0.410
-0.114,0.391
-0.093,0.394
-0.132,0.400
-0.128,0.400
-0.114,0.393
-0.056,0.402
-0.073,0.396
-0.037,0.384
-0.076,0.393
-0.078,0.388
-0.072,0.376
-0.049,0.379
-0.066,0.384
-0.079,0.380
-0.118,0.412
-0.067,0.382
-0.070,0.383
-0.080,0.396
-0.131,0.452
-0.112,0.415
-0.118,0.416
-0.143,0.419
-0.073,0.365
-0.086,0.346
-0.127,0.411
-0.100,0.416
-0.125,0.405
-0.133,0.391
-0.110,0.383
-0.112,0.364
-0.154,0.455
-0.098,0.419
-0.116,0.396
-0.135,0.394
-0.071,0.388
-0.066,0.356
-0.089,0.410
-0.019,0.354
-0.075,0.351
-0.031,0.325
-0.020,0.300
-0.031,0.317
-0.039,0.378
-0.078,0.374
-0.049,0.361
-0.043,0.330
-0.044,0.310
-0.050,0.316
-0.067,0.356
-0.046,0.358
-0.081,0.369
-0.042,0.366
-0.072,0.345
-0.083,0.381
-0.072,0.363
-0.080,0.372
-0.050,0.359
-0.076,0.357
-0.075,0.369
-0.041,0.356
-0.030,0.345
-0.090,0.376
-0.063,0.340
-0.049,0.345
-0.005,0.340
-0.039,0.341
-0.015,0.329
-0.053,0.356
0.030,0.318
-0.003,0.323
0.053,0.316
0.043,0.302
0.059,0.318
0.021,0.337
0.059,0.334
0.054,0.331
0.074,0.292
0.053,0.326
0.073,0.312
0.008,0.317
0.023,0.319
-0.027,0.311
0.072,0.300
0.095,0.278
0.071,0.295
-0.059,0.307
-0.064,0.326
-0.059,0.315
0.017,0.288
0.022,0.282
0.025,0.273
-0.065,0.282
0.002,0.271
0.002,0.283
0.026,0.255
0.005,0.231
0.048,0.240
0.026,0.222
0.021,0.217
0.045,0.243
0.043,0.226
0.043,0.227
0.088,0.207
0.033,0.229
0.112,0.206
0.035,0.231
0.032,0.221
0.083,0.216
0.096,0.234
0.092,0.226
0.086,0.271
0.046,0.282
0.108,0.257
0.129,0.243
0.131,0.227
0.086,0.263
0.075,0.266
0.067,0.275
0.064,0.240
0.074,0.240
0.063,0.230
0.055,0.261
0.030,0.284
0.044,0.269
0.013,0.294
0.006,0.273
0.075,0.239
0.064,0.273
0.095,0.268
0.083,0.256
0.062,0.265
0.114,0.257
0.110,0.261
0.065,0.286
-0.048,0.302
0.006,0.287
0.008,0.329
0.032,0.270
0.053,0.271
-0.045,0.325
-0.113,0.338
-0.059,0.323
0.013,0.296
0.006,0.266
-0.003,0.290
0.050,0.304
-0.038,0.282
-0.022,0.306
0.018,0.285
-0.019,0.298
0.064,0.293
0.076,0.325
-0.029,0.299
-0.059,0.306
0.007,0.263
-0.031,0.272
-0.093,0.320
0.029,0.284
-0.122,0.356
-0.114,0.354
-0.041,0.356
-0.038,0.318
-0.124,0.322
-0.069,0.322
-0.114,0.383
-0.101,0.379
-0.039,0.369
-0.134,0.396
-0.185,0.389
-0.124,0.384
-0.250,0.437
-0.227,0.438
-0.108,0.392
-0.186,0.408
-0.177,0.374
-0.188,0.405
-0.260,0.419
-0.239,0.415
-0.131,0.416
-0.182,0.437
-0.211,0.431
-0.147,0.394
-0.109,0.327
-0.058,0.319
-0.012,0.311
-0.155,0.387
-0.059,0.368
-0.072,0.369
-0.147,0.381
-0.073,0.358
-0.023,0.333
-0.158,0.421
-0.140,0.413
-0.134,0.419
-0.181,0.422
-0.109,0.408
-0.132,0.427
-0.141,0.440
-0.173,0.449
-0.139,0.435
-0.140,0.462
-0.107,0.425
-0.112,0.465
-0.142,0.466
-0.121,0.467
